topic,new_id,original_id,subtopic,script,prompt
counting,1,13,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 17 oranges.
counting,2,14,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 18 oranges.
counting,3,15,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 19 oranges.
counting,4,16,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 20 oranges.
counting,5,17,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 21 oranges.
counting,6,18,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 22 oranges.
counting,7,19,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 23 broccoli.
counting,8,20,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 24 broccoli.
counting,9,21,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 25 broccoli.
counting,10,22,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 6 broccoli.
counting,11,23,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 5 broccoli.
counting,12,24,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 8 carrots.
counting,13,25,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 7 carrots.
counting,14,26,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 10 carrots.
counting,15,27,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 9 carrots.
counting,16,28,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 12 carrots.
counting,17,29,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 11 carrots.
counting,18,30,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 14 carrots.
counting,19,38,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 20 oranges.
counting,20,39,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 22 broccoli.
counting,21,40,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 24 carrots.
counting,22,43,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 30 oranges.
counting,23,44,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 7 broccoli.
counting,24,45,exact_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 9 carrots.
counting,25,48,exact_counting,data/evaluate_script/counting/counting_common.py,A pile of broccoli on a table. There are exactly 18 broccoli in the pile.
counting,26,1,attribute_based_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 5 red apples.
counting,27,2,attribute_based_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 6 red apples.
counting,28,3,attribute_based_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 7 red apples.
counting,29,4,attribute_based_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 8 red apples.
counting,30,5,attribute_based_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 9 red apples.
counting,31,6,attribute_based_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 10 red apples.
counting,32,7,attribute_based_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 11 green apples.
counting,33,8,attribute_based_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 12 green apples.
counting,34,9,attribute_based_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 13 green apples.
counting,35,10,attribute_based_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 14 green apples.
counting,36,11,attribute_based_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 15 green apples.
counting,37,12,attribute_based_counting,data/evaluate_script/counting/counting_common.py,An image containing exactly 16 green apples.
counting,38,31,attribute_based_counting,data/evaluate_script/counting/counting_common.py,"A realistic orchard scene with three apple trees at different depths. Count only the fully visible red apples hanging on branches of the center tree: there must be exactly 17. Other trees may contain apples of non-red colors only. No baskets, no fallen fruit."
